11
1000,5
1001,1
1002,3
1003,5
1004,4
1005,2
1006,2
1007,3
1008,2
1009,1
1010,3
20
100,4
1001,1
1005,4
1002,1
1000,1
101,6
1004,3
1001,3
1002,2
1005,1
1008,1
1007,1
102,2
1000,1
1006,2
103,1
1009,2
104,6
1008,3
1001,3
1003,2
1004,1
1000,1
1002,2
105,3
1005,1
1009,4
1000,1
106,3
1008,4
1006,1
1005,1
107,1
1001,1
108,7
1008,1
1009,3
1010,1
1002,4
1000,1
1003,3
1001,2
109,2
1005,1
1002,1
110,1
1006,1
111,7
1006,3
1004,2
1010,1
1005,2
1002,2
1003,3
1007,1
112,1
1005,1
113,7
1001,2
1005,4
1009,1
1006,1
1000,5
1002,1
1003,4
114,6
1005,3
1006,4
1002,2
1000,3
1009,2
1010,1
115,5
1009,5
1002,1
1007,3
1001,3
1005,1
116,4
1004,2
1006,3
1000,1
1002,3
117,4
1009,5
1006,3
1005,2
1004,1
118,7
1005,2
1004,1
1003,1
1009,4
1001,3
1002,1
1007,5
119,6
1009,3
1003,1
1005,4
1007,2
1008,2
1004,4
