10
1000,5
1001,2
1002,2
1003,2
1004,1
1005,2
1006,1
1007,2
1008,2
1009,1
60
100,5
1000,2
1004,3
1007,5
1008,2
1001,1
101,5
1002,4
1001,1
1005,2
1006,2
1008,4
102,4
1003,3
1005,3
1009,3
1007,1
103,4
1001,4
1005,3
1008,2
1002,2
104,7
1003,2
1004,2
1002,2
1009,3
1007,1
1008,5
1001,5
105,2
1001,4
1009,1
106,6
1000,1
1008,4
1002,4
1009,2
1005,2
1003,1
107,6
1007,5
1003,1
1001,5
1005,3
1002,1
1008,2
108,6
1007,5
1009,2
1006,2
1000,2
1001,5
1004,1
109,1
1007,1
110,1
1006,2
111,1
1002,1
112,1
1002,1
113,4
1001,1
1005,3
1006,1
1000,3
114,4
1006,1
1003,5
1004,3
1007,2
115,2
1007,2
1001,2
116,6
1004,5
1007,2
1000,4
1006,1
1003,4
1008,1
117,7
1009,2
1008,1
1001,4
1006,5
1007,5
1002,2
1003,1
118,3
1006,4
1002,3
1005,1
119,2
1000,3
1007,1
120,1
1007,1
121,5
1005,4
1006,5
1003,1
1009,3
1004,1
122,1
1002,1
123,4
1000,3
1009,5
1008,2
1002,1
124,6
1005,3
1000,5
1006,1
1008,2
1004,1
1001,3
125,7
1000,3
1003,1
1004,2
1007,4
1001,5
1005,1
1008,1
126,1
1004,1
127,6
1000,2
1009,1
1007,1
1006,1
1002,2
1001,4
128,1
1002,2
129,6
1001,4
1005,4
1000,4
1006,3
1009,1
1002,1
130,3
1002,3
1001,1
1009,4
131,5
1004,5
1009,3
1008,1
1003,1
1001,1
132,2
1000,2
1007,1
133,6
1001,2
1002,2
1003,5
1007,2
1000,2
1009,1
134,2
1008,3
1007,2
135,6
1009,4
1000,1
1001,1
1004,2
1003,5
1002,2
136,5
1000,3
1006,1
1009,3
1005,5
1007,2
137,7
1005,2
1004,1
1007,2
1008,4
1009,3
1002,3
1001,5
138,4
1009,3
1006,5
1001,2
1008,1
139,5
1004,5
1008,1
1006,1
1009,3
1003,1
140,6
1009,3
1000,1
1006,5
1002,5
1008,1
1001,2
141,2
1008,4
1000,1
142,3
1007,3
1001,2
1000,3
143,4
1007,3
1008,5
1001,2
1006,1
144,2
1009,1
1006,2
145,5
1003,3
1007,4
1009,2
1002,3
1004,2
146,6
1009,5
1003,1
1007,1
1005,1
1001,4
1004,1
147,2
1003,3
1001,1
148,5
1002,5
1008,2
1009,2
1006,1
1004,2
149,3
1005,3
1009,2
1007,1
150,7
1009,2
1002,2
1000,5
1003,2
1007,3
1004,5
1005,1
151,7
1007,1
1004,3
1009,2
1002,5
1008,4
1001,1
1006,1
152,2
1006,2
1007,1
153,5
1002,1
1000,5
1007,4
1004,2
1005,1
154,3
1000,1
1006,1
1005,1
155,1
1002,1
156,6
1005,1
1008,1
1009,2
1002,5
1000,5
1006,2
157,1
1006,1
158,7
1001,3
1002,2
1000,2
1003,2
1007,4
1005,1
1008,5
159,6
1005,3
1003,2
1008,5
1000,5
1009,1
1004,1
